_id,FACILITY_ID,FACILITY_NAME,FA_ADDRESS_GIVEN,FA_POSTAL_CODE,FA_LAT,FA_LON,NAICS_CODE_6,NAICS_CODE_6_DESC_ENG,EMPLOYEE_COUNT,WEB_SITE,PC_FULL_NAME,PHONE_NO,PC_JOB_TITLE,PC_PHONE_NO,PC_PHONE_NO_EXT,PC_FAX_NO,CHEMICAL_ID,CHEMICAL_NAME,USE_MANUFACTURED,USE_PROCESSED,USE_OTHER_USE,REL_AIR,REL_LAND,REL_WATER,REL_DISPOSAL,REL_RECYCLING
323,22891,Mariani Metal Fabricators Limited,263 Carrier Drive,M9W 5Y8,43.7509,-79.6141,332999,All Other Misc. Fabricated Metal Product Mfg.,66,,Venkat Ramaraju,416-798-2969,CFO,416-798-2969,,,16,Manganese and its compounds,0,2059,0,0,0,0,0,0
324,22891,Mariani Metal Fabricators Limited,263 Carrier Drive,M9W 5Y8,43.7509,-79.6141,332999,All Other Misc. Fabricated Metal Product Mfg.,66,,Venkat Ramaraju,416-798-2969,CFO,416-798-2969,,,9,"Chromium, Non-Hexavalent and its compounds",0,5823,0,0,0,0,0,0
325,22933,Garyray Auto Collision Ltd,187 Toryork Dr,M9L 1X9,43.7601,-79.5583,811121,"Automotive Body, Paint & Interior R&M",15,,Sandro Perruzza,416-745-9300,General Manager,416-745-9300,,,25,Volatile Organic Compounds (VOCs) Total,0,0,749,677,0,0,0,0
326,23054,KIK Operating Partnership,2000 Kipling Avenue,M9W 4J6,43.71,-79.5659,325610,Soap & Cleaning Compound Mfg.,298,,Kimberly Clark,416-740-7400,Manager Of EHS,416-740-7400,,,24,Particulate Matter 2.5 (PM2.5),54,0,0,54,0,0,0,0
327,23073,Canadian Linen Uniform Service Co,75 Norfinch Drive,M3N 1W8,43.7596,-79.5289,812330,Linen & Uniform Supply,130,,Andrew Steiner,416-849-5100,Sr VP Of Canadian Operations,416-354-3100,,,24,Particulate Matter 2.5 (PM2.5),1241,0,0,1241,0,0,0,0
328,23077,Cintas Canada Limited,1110 Flint Road,M3J 2J5,43.7778,-79.4815,812330,Linen & Uniform Supply,101,,Denis Gveric,416-743-5070,Plant Manager,416-743-5070,,416-743-6008,24,Particulate Matter 2.5 (PM2.5),57,0,0,57,0,0,0,0
329,23107,Cintas Canada limited,940 Warden Avenue,M1L 4C9,43.7322,-79.2894,812330,Linen & Uniform Supply,160,,Michael Labocha,416-751-4100,Env Engineer,647-468-7025,,,25,Volatile Organic Compounds (VOCs) Total,72,0,20331,5223,0,0,0,0
330,23174,Kilian Canada ULC,75 Torlake Crescent,M8Z 1B7,43.613,-79.5269,332991,Ball & Roller Bearing Mfg.,40,,Wolney Rodrigues,416-252-5936,Plant Manager,289-806-6579,,,15,Lead and its compounds,0,1495,0,0,0,0,0,0
331,23178,Coyle Corrugated Containers Inc,5600 Finch Ave E,M1B 1T1,43.8136,-79.2404,323119,Other Printing,85,coylecor.com,Robert MacLennan,416-291-2963,Quality Assurance Manager,416-291-2963,231,416-291-3899,25,Volatile Organic Compounds (VOCs) Total,0,910,0,910,0,0,0,0
332,23213,Superior Auto Centre Ltd,228 Norseman Street,M8Z 2R4,43.632,-79.5289,811121,"Automotive Body, Paint & Interior R&M",7,,Daniel Tsatsos,416-236-1175,Manager,416-236-1175,,416-236-3610,24,Particulate Matter 2.5 (PM2.5),295,0,0,44,0,0,0,0
333,23277,427 Auto Collision Ltd,395 Evans Avenue,M8Z 1K8,43.6156,-79.527,811121,"Automotive Body, Paint & Interior R&M",65,,Enzo Armata,416-259-6344,Controller,416-259-6344,,416-259-4063,23,Nitrogen Oxides (NOx),132,0,0,105,0,0,0,0
334,23277,427 Auto Collision Ltd,395 Evans Avenue,M8Z 1K8,43.6156,-79.527,811121,"Automotive Body, Paint & Interior R&M",65,,Enzo Armata,416-259-6344,Controller,416-259-6344,,416-259-4063,25,Volatile Organic Compounds (VOCs) Total,0,0,122,122,0,0,0,0
335,23296,Bellwyck Packaging,21 Finchdene Sq,M1X 1A7,43.8163,-79.2318,323119,Other Printing,50,,Jerry Malfara,416-752-1210,Plant Manager,416-752-1210,,,25,Volatile Organic Compounds (VOCs) Total,0,0,2846,2699,0,0,0,0
336,23365,Scarborotown Dodge Chrysler,4960 Sheppard Ave E,M1S 4A7,43.7923,-79.2464,811121,"Automotive Body, Paint & Interior R&M",7,,Rick Kirk,416-298-7600,Manager,416-298-7600,,416-412-4401,24,Particulate Matter 2.5 (PM2.5),295,0,0,15,0,0,0,0
337,23369,Massive Auto Collision,1361 DuPont Street,M6H 2A9,43.6669,-79.4457,811121,"Automotive Body, Paint & Interior R&M",6,,Tony Staffiere,416-533-3884,Manager,416-533-3884,,416-533-9015,25,Volatile Organic Compounds (VOCs) Total,0,0,837,827,0,0,0,0
338,23433,Castle Auto Collision  Mechanical Service,1117 Castlefield Ave,M6B 1E8,43.7004,-79.453,811121,"Automotive Body, Paint & Interior R&M",8,,Chris Borson,416-789-4179,Manager,416-789-4179,,416-789-4170,24,Particulate Matter 2.5 (PM2.5),211,0,0,11,0,0,0,0
339,23497,Inline Fiberglass Ltd,30 Constellation Court,M9W 1K1,43.691,-79.5964,326198,All Other Plastic Product Mfg.,100,,Tom Rokicki,416-679-1171,Operations Manager,416-679-1171,,416-569-1150,24,Particulate Matter 2.5 (PM2.5),0,233436,0,467,0,0,0,0
340,23504,CK Collision Centres,514 Centennial Rd N,M1C 2A6,43.7934,-79.1533,811121,"Automotive Body, Paint & Interior R&M",4,,Terry Bradimore,416-281-9394,Manager,416-281-9394,,,24,Particulate Matter 2.5 (PM2.5),226,0,0,226,0,0,0,0
341,23514,SC Electric Canada Ltd,90 Belfield Road,M9W 1G4,43.703,-79.5713,335315,"Switchgear, Relay & Industrial Control Mfg.",360,,Laura Cudizio,416-249-9171,Manager Health Safety Envt,416-249-9171,3288,,23,Nitrogen Oxides (NOx),1056,0,0,1056,0,0,0,0
342,23517,Fiera Foods Company,50 Marmora Street,M9M 2X5,43.7189,-79.526,311814,Commercial Bakeries & Frozen Product Mfg.,600,,David Gelbloom,416-746-1010,Exec Administrator,416-746-1010,,,25,Volatile Organic Compounds (VOCs) Total,125600,0,0,125600,0,0,0,0
343,23836,Wing's Food Products,550 Kipling Avenue,M8Z 5E9,43.6146,-79.5238,311990,All Other Food Mfg.,30,,Norel Covaci,416-259-0202,Sr Eng Manager,416-259-0202,,416-792-3183,23,Nitrogen Oxides (NOx),1343,0,0,1343,0,0,0,0
344,23844,FTG Circuits,250 Finchdene Square,M1X 1A5,43.8211,-79.2346,335990,All Other Electrical Equip. & Component Mfg.,181,,Loreile Llave,416-299-4000,Lab And Environment Supervisor,416-299-4000,313,,15,Lead and its compounds,0,1181,0,0,0,0,0,0
345,23866,Manoucher Fine Food Inc,703 Clayson Rd,M9M 2H4,43.7276,-79.5286,311814,Commercial Bakeries & Frozen Product Mfg.,25,,Angelina Cherepakha,416-747-1234,Bookkeeper,416-747-1234,,416-747-7005,25,Volatile Organic Compounds (VOCs) Total,1128,0,0,1128,0,0,0,0
346,23911,Falcon Fasteners,251 Nantucket Blvd,M1P 2P2,43.76,-79.2758,332619,Other Fabricated Wire Product Mfg.,125,,Peter Firth,416-751-8284,EHS Officer,416-751-8284,,,25,Volatile Organic Compounds (VOCs) Total,0,0,5000,4000,0,0,0,0
347,23954,Acadian Platers CoLtd,315 Rexdale Blvd,M9W 1R8,43.7143,-79.5832,332810,"Coating, Engraving & Heat Treating Activities",30,,Karanjot Kang,416-743-7130,Corp Manager Quality Environment,905-564-1711,,905-564-2819,18,Nickel and its compounds,0,2447,0,0,0,0,0,0
348,23990,Durapaint Industries Limited,247 Finchdene Square,M1X 1B9,43.8211,-79.2348,232990,All Other Special Trade Contracting,84,,Domenic Zarlenga,416-754-3664,Vice President,416-743-3664,,,23,Nitrogen Oxides (NOx),2560,0,0,2560,0,0,0,0
349,24058,Deco Automotive,225 Claireville Drive,M9W 6K9,43.7458,-79.6256,332118,Stamping,566,,Hena Alam,416-674-5598,Coordinator HSE,416-674-5598,2150,,24,Particulate Matter 2.5 (PM2.5),87,0,0,87,0,0,0,0
350,42,Viasystems Toronto Inc A Member Company Of TTM Technologies Group,8150 Sheppard Avenue East,M1B 5K2,43.8027,-79.1969,334410,Semiconductor & Electronic Component Mfg.,550,,Mark Scruton,416-208-2100,Director Of EHS AMII BU,416-453-1594,,416-208-2193,18,Nickel and its compounds,0,1016,0,0,0,0,0,0
351,114,Polytarp Products,350 Wildcat Rd,M3J 2N5,43.7766,-79.4914,326114,Plastic Film and Sheet Manufacturing,125,,Farhad Nouri,416-661-1750,Plant Manager,416-661-1750,,416-661-1757,25,Volatile Organic Compounds (VOCs) Total,450,0,0,0,0,0,0,0
352,120,Black Creek Dry Cleaners,1635 Lawrence Ave W,M6L 3C9,43.7054,-79.492,812320,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),2,,Jin Mo Park,416-248-9862,Owner,416-248-9862,,,19,Tetrachloroethylene (Perchloroethylene),0,0,108,53,0,0,0,0
353,178,Nestle Foods Group Sterling Road Nestle Canada Inc,72 Sterling Road,M6R 2B6,43.6526,-79.4441,311330,Confectionery Mfg. from Purchased Chocolate,472,,Jacqueline Widjaja,416-535-2181,Environmental Specialist,416-535-2181,,,25,Volatile Organic Compounds (VOCs) Total,247,0,378,625,0,0,0,0
354,180,Battenfeld Grease Canada Ltd,68 Titan Road,M8Z 2J8,43.6296,-79.524,324190,Other Petroleum & Coal Products Mfg.,29,,Roger Corteling,416-239-1548,General Manager,416-239-1548,,,23,Nitrogen Oxides (NOx),0,0,0,0,0,0,0,0
355,24112,MW Metal Spinning Ltd,60 Alness Street,M3J 2G9,43.773,-79.4729,331221,Cold-Rolled Steel Shape Mfg.,3,,Annette Goldstein,416-661-8003,President,416-661-8003,,416-661-4355,23,Nitrogen Oxides (NOx),0,5,0,0,0,0,0,0
356,24126,Modern Laundry and Dry Cleaners,282 Dupont Street West,M5R 1V9,43.6748,-79.4075,812320,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),10,,Dee Chauhan,416-923-8966,Manager,416-923-8966,,,19,Tetrachloroethylene (Perchloroethylene),0,0,351,20,0,0,0,0
357,24129,New Forest Paper Mills LP,333 Progress Avenue,M1P 2Z7,43.7745,-79.2662,322130,Paperboard Mills,94,,Fatima Correia,416-298-8101,Environmental Manager,416-298-5431,,416-297-2292,24,Particulate Matter 2.5 (PM2.5),1591,0,0,1591,0,0,0,0
358,24146,Dufferin Concrete Scarborough,1940 McCowan Road,M1S 4K1,43.7935,-79.2604,327320,Ready-Mix Concrete Mfg.,27,,Maria Topalovic,416-677-6752,Environmental Manager,647-924-5500,,,24,Particulate Matter 2.5 (PM2.5),0,82,0,82,0,0,0,0
359,24147,Ontario Redimix Etobicoke,21 Goodmark Place,M9W 6P9,43.7534,-79.6166,327320,Ready-Mix Concrete Mfg.,63,,Maria Topalovic,416-213-5246,Environmental Manager,647-924-5501,,,24,Particulate Matter 2.5 (PM2.5),0,137,0,137,0,0,0,0
360,223,Salflex Polymers,1925 Wilson Ave,M9M 1A9,43.716,-79.5307,325991,Custom Compounding of Purchased Resins,40,,Peter Lee,416-741-0273,Process Engineering Manager,416-741-0273,224,,23,Nitrogen Oxides (NOx),254,0,0,254,0,0,0,0
361,233,Jacobs & Thompson Inc.,89 Kenhar Drive,M9L 2R3,43.7616,-79.5451,326150,Urethane & Miscellaneous Foam Product Mfg.,101,,Farshad Riazati,416-749-0600,Maintenance Manager,416-749-0600,,,25,Volatile Organic Compounds (VOCs) Total,0,0,20000,20000,0,0,0,0
362,235,BASF Canada,10 Constellation Court,M9W 1K1,43.6912,-79.5962,325210,Resin & Synthetic Rubber Mfg.,51,,David M Peters,289-360-6072,Senior EHS Specialist,289-360-6072,,,25,Volatile Organic Compounds (VOCs) Total,45,683358,0,6848,0,0,0,0
363,253,Atlantic Packaging 120 Tiffield Road,120 Tiffield Road,M1V 5N2,43.8165,-79.2565,323119,Other Printing,96,,Fatima Correia,416-298-8101,Environmental Manager,416-298-5431,,,25,Volatile Organic Compounds (VOCs) Total,11,0,268,279,0,0,0,0
364,275,Toronto Research Chemicals,2 Brisbane Road,M3J 2J8,43.7739,-79.4707,325410,Pharmaceutical & Medicine Mfg.,150,,Andrew Karagias,416-665-9696,Corporate Project Manager,416-665-9696,,,17,Mercury and its compounds,0,0,58,0,0,0,0,0
365,285,RPM Canada Company Tremco Canada Division,220 Wicksteed Ave,M4H 1G7,43.7133,-79.3473,325510,Paint & Coating Mfg.,225,,Nawid Bakhshi,416-467-2447,Environmental Coordinator,416-467-2447,,416-467-2452,23,Nitrogen Oxides (NOx),3400,0,0,3400,0,0,0,0
366,24201,Trillium Health Partners Queensway Health Centre,150 Sherway Drive,M9C 1A5,43.6088,-79.5616,622111,General (exc. Paediatric) Hospitals,569,,Ryan Knox,905-848-7580,Manager Corporate Services,905-848-7580,,,24,Particulate Matter 2.5 (PM2.5),62,0,0,62,0,0,0,0
367,24203,Trench Limited Maybrook,71 Maybrook Drive,M1V 4B6,43.8249,-79.261,335311,Transformer (except Electronic) Mfg.,197,,Peter Tresp,416-298-8108,EHS Manager,647-925-9650,,,24,Particulate Matter 2.5 (PM2.5),58,0,0,58,0,0,0,0
368,24218,Teva Canada Ltd,30 Novopharm Court,M1B 2K9,43.7894,-79.2296,561910,Packaging & Labelling Services,600,,Fanche Lovacev,416-291-8888,Manager Environment And Safety,416-940-6458,,,25,Volatile Organic Compounds (VOCs) Total,19,0,1751,1770,0,0,0,0
369,24222,Crown Metal Packaging Canada LP Weston Plant,21 Fenmar Drive,M9L 2Y9,43.7591,-79.5359,332431,Metal Can Mfg.,190,,Maria Paula Gomez,416-741-6002,EHS Coordinator,437-318-8031,,,23,Nitrogen Oxides (NOx),6666,0,0,6666,0,0,0,0
370,24232,693316 Ontario Limited Horner Avenue,200 Horner Ave,M8Z 4X8,43.6078,-79.5178,327320,Ready-Mix Concrete Mfg.,1,,Domenic Suppa,416-255-7637,CFO,416-798-7060,,,24,Particulate Matter 2.5 (PM2.5),91,0,0,91,0,0,0,0
371,24238,Mersen Canada Dn Ltd,496 Evans Ave,M8W 2T7,43.6131,-79.5383,335990,All Other Electrical Equip. & Component Mfg.,60,,Claudio Clemente,416-251-2334,Operations Excellence Manager,937-299-4514,,,15,Lead and its compounds,0,1958,0,1,0,0,0,0
372,294,NutriAg Ltd,39 Gail Grove,M9M 1M5,43.7379,-79.5307,115110,Support Activities for Crop Production,55,www.nutriag.com,Lucia Ko,416-636-1555,VP Supply Chain,416-572-1962,,416-636-2681,16,Manganese and its compounds,0,24856,2000,0,0,0,0,0
373,295,Global Contract Inc,565 Petrolia Road,M3J 2X8,43.7737,-79.4883,337127,Institutional Furniture Mfg.,430,,Brian Covello,416-739-5000,Vice President and GM,416-739-5000,5086,,23,Nitrogen Oxides (NOx),866,0,0,866,0,0,0,0
374,299,Warren's Waterless Printing Inc,711 Clayson Road,M9M 2H4,43.7281,-79.5279,323119,Other Printing,15,,Susan Warren,416-745-8200,Environmental Coordinator,416-745-8200,,416-747-7199,25,Volatile Organic Compounds (VOCs) Total,0,2325,0,1648,0,0,0,0
375,315,Apotex Etobicoke,50 Steinway Boulevard,M9W 6Y3,43.7504,-79.6244,325410,Pharmaceutical & Medicine Mfg.,883,,Michael Taniguchi,416-675-0338,Associate Director EHS Programs,647-262-6903,,,23,Nitrogen Oxides (NOx),23618,0,0,23618,0,0,0,0
376,321,Apotex Special Products Facility,285 Garyray Drive,M9L 1P3,43.769,-79.5394,325410,Pharmaceutical & Medicine Mfg.,24,,Michael Taniguchi,416-749-9300,Associate Director EHS Programs,647-262-6903,,,25,Volatile Organic Compounds (VOCs) Total,0,0,821,821,0,0,0,0
377,360,Molson Coors Canada,1 Carlingview Drive,M9W 5E5,43.674,-79.5897,312120,Breweries,621,,Tan Le,416-571-8917,General Manager,416-688-1898,,,25,Volatile Organic Compounds (VOCs) Total,771,36818,0,27968,0,0,0,0
378,24266,D Crupi And Sons Limited Brimley Crushing Plant,477 Brimley Rd,M1J 1A2,43.7325,-79.2462,212315,Limestone Mining & Quarrying,5,,Domenic Passalacqua,416-291-1986,Plant Manager,416-291-1986,,416-291-3252,24,Particulate Matter 2.5 (PM2.5),55,0,0,55,0,0,0,0
379,24270,Moveable Inc,67 Mowat Avenue,M6K 3E3,43.6384,-79.4257,323119,Other Printing,32,,Melvin Gallardo,416-532-5690,Owner,416-532-5690,2245,416-532-0783,25,Volatile Organic Compounds (VOCs) Total,0,43,349,134,0,0,0,0
380,24278,Viva Media Packaging Canada Limited,5373 Finch Avenue E,M1S 5W2,43.8115,-79.2499,326198,All Other Plastic Product Mfg.,492,,Stuart Bailey,416-412-3553,Principal  OSB Consulting,519-240-6939,,,25,Volatile Organic Compounds (VOCs) Total,0,0,2591,2591,0,0,0,0
381,24282,Viscor Inc,35 Oak Street,M9N 1A1,43.7087,-79.529,335120,Lighting Fixture Mfg.,202,,Steven Anderson,416-245-7991,Director Of Operations,416-245-7991,,,24,Particulate Matter 2.5 (PM2.5),93,0,0,93,0,0,0,0
382,24287,Airborn Flexible Circuits Inc,11 Dohme Ave,M4B 1Y7,43.7116,-79.3116,334410,Semiconductor & Electronic Component Mfg.,190,,Peter Pialis,416-752-2224,Director Of Engieering,416-285-3825,,,14,Formaldehyde,0,0,215,2,0,0,0,0
383,24322,York University Faculty Of Health And Science,4700 Keele St,M3J 1P3,43.7745,-79.494,611310,Universities,1020,,Tomorr Cerriku,416-736-2100,Health  Safety Advisor,416-736-5949,,,16,Manganese and its compounds,0,0,63,0,0,0,0,0
384,24335,Westown Dry Cleaners,235 Dixon Rd,M9P 2M5,43.6967,-79.5439,812320,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),3,,Peter Zumpano,416-241-4512,Coowner,416-241-4512,,,19,Tetrachloroethylene (Perchloroethylene),0,0,375,0,0,0,0,0
385,24344,University Of Toronto Lash Miller Chemical Laboratories,80 St George Street,M5S 3H6,43.662,-79.3976,611310,Universities,80,,Matthew White,416-978-3564,Enviro Compliance  Safety Tech,416-978-5087,,,25,Volatile Organic Compounds (VOCs) Total,0,0,17725,3545,0,0,0,0
386,24363,Vienna Meats,170 Nugget Avenue,M1S 3A7,43.7952,-79.253,311614,Rendering & Meat Processing from Carcasses,150,,Bill Baker,416-297-1062,Senior Manager  Risk  Env,780-472-4873,,780-472-4951,23,Nitrogen Oxides (NOx),465,0,0,465,0,0,0,0
387,363,Lincoln Electric Company Of Canada,179 Wicksteed Avenue,M4G 2B9,43.712,-79.3547,332999,All Other Misc. Fabricated Metal Product Mfg.,247,,Rick Ash,416-421-2600,Operations Manager,416-421-2600,,,23,Nitrogen Oxides (NOx),4191,0,0,4191,0,0,0,0
388,363,Lincoln Electric Company Of Canada,179 Wicksteed Avenue,M4G 2B9,43.712,-79.3547,332999,All Other Misc. Fabricated Metal Product Mfg.,247,,Rick Ash,416-421-2600,Operations Manager,416-421-2600,,,24,Particulate Matter 2.5 (PM2.5),5496,0,0,5496,0,0,0,0
389,371,Coca-Cola Canada Bottling Limited,24 Fenmar Drive,M9L 1L8,43.759,-79.5366,312110,Soft Drink & Ice Mfg.,140,,Hassan Jalilian,416-749-0440,Continuous ImprovementSpecialist,437-429-5359,,,23,Nitrogen Oxides (NOx),5869,0,0,5869,0,0,0,0
390,411,LANXESS Canada CoCie West Hill,10 Chemical Crt,M1E 3X7,43.7628,-79.1635,324190,Other Petroleum & Coal Products Mfg.,86,,Jeanette Waples,416-284-1661,EHSS Manager,416-724-3643,,416-284-1761,25,Volatile Organic Compounds (VOCs) Total,326,969395,0,51435,0,0,0,0
391,417,Mondelez Canada Inc Scarborough Bakery,370 Progress Avenue,M1P 2Z4,43.775,-79.2647,311821,Cookie & Cracker Mfg.,251,,Dolly Lakshman,416-291-3713,Environmental Manager,647-802-5552,,,23,Nitrogen Oxides (NOx),1281,0,0,1281,0,0,0,0
392,24370,Dupont Auto Collision,810 Dupont Street,M6G 1Z6,43.6709,-79.4255,811121,"Automotive Body, Paint & Interior R&M",13,,Jorge Esteves,416-535-6660,Owner,416-535-6660,,416-535-4421,24,Particulate Matter 2.5 (PM2.5),295,0,0,15,0,0,0,0
393,24370,Dupont Auto Collision,810 Dupont Street,M6G 1Z6,43.6709,-79.4255,811121,"Automotive Body, Paint & Interior R&M",13,,Jorge Esteves,416-535-6660,Owner,416-535-6660,,416-535-4421,25,Volatile Organic Compounds (VOCs) Total,0,0,465,342,0,0,0,0
394,24382,Lynnpak,355 Nugget Ave,M1S 4J2,43.7968,-79.2478,326111,Plastics Bag Manufacturing,30,,Jack Lin,416-321-9707,VP Operations,415-321-9707,,,25,Volatile Organic Compounds (VOCs) Total,0,0,52061,52061,0,0,0,0
395,24555,Smith and Long Contracting Ltd.,133 Bridgeland Ave,M6A 1Y7,43.7255,-79.4634,332999,All Other Misc. Fabricated Metal Product Mfg.,67,,Vince Carbonara,416-781-6166,Controller,416-781-6166,,416-781-6259,9,"Chromium, Non-Hexavalent and its compounds",0,24399,0,14,0,0,0,0
396,24590,WGI Mfg Inc,3 Pullman Court,M1X 1E4,43.8206,-79.238,325999,All Other Misc. Chemical Product Mfg.,21,,Kuldip Keith,416-412-2970,Technical Director,416-412-2970,,416-412-2972,25,Volatile Organic Compounds (VOCs) Total,0,6995,0,6678,0,0,0,0
397,24741,CBM Weston RM Plant,130 Toryork Dr,M9L 1X6,43.7574,-79.5533,327320,Ready-Mix Concrete Mfg.,2,,Colin Evans,416-741-0200,Environment Manager,905-440-5745,,,24,Particulate Matter 2.5 (PM2.5),70,0,0,70,0,0,0,0
398,24741,CBM Weston RM Plant,130 Toryork Dr,M9L 1X6,43.7574,-79.5533,327320,Ready-Mix Concrete Mfg.,2,,Colin Evans,416-741-0200,Environment Manager,905-440-5745,,,23,Nitrogen Oxides (NOx),221,0,0,221,0,0,0,0
399,419,Apotex 4100 Weston,4100 Weston Road,M9L 2Y6,43.766,-79.5456,325410,Pharmaceutical & Medicine Mfg.,409,,Michael Taniguchi,416-749-9300,Associate Director EHS Programs,647-262-6903,,,23,Nitrogen Oxides (NOx),603,0,0,603,0,0,0,0
400,446,D Crupi And Sons Limited Passmore Ave Asphalt Plant,85 Passmore Ave,M1V 4S9,43.8201,-79.2973,324121,Asphalt Paving Mixture & Block Mfg.,4,,Domenic Passalacqua,416-291-1986,Plant Manager,416-291-1986,,416-291-3252,23,Nitrogen Oxides (NOx),3731,0,0,3731,0,0,0,0
401,25032,Tayco Panelink Ltd,400 Norris Glen Road,M9C 1H5,43.6233,-79.5553,337214,Office Furniture (except Wood) Mfg.,160,,SUNNY SINGH,416-252-8000,PLANT MANAGER,416-252-8000,,416-252-4467,25,Volatile Organic Compounds (VOCs) Total,0,0,1800,1800,0,0,0,0
402,25149,Express Auto Collision,310 Greenwood Avenue,M4L 2R8,43.6741,-79.3295,811121,"Automotive Body, Paint & Interior R&M",5,,Sofie DialynasVatsis,416-465-2316,Office,416-465-2316,,416-465-3347,24,Particulate Matter 2.5 (PM2.5),211,0,0,32,0,0,0,0
403,25150,Olympic Coaters Ltd,354 Humberline Dr,M9W 5S3,43.7444,-79.6216,325999,All Other Misc. Chemical Product Mfg.,40,,Robert P. Edwards,416-213-1705,,416-213-1706,,,18,Nickel and its compounds,0,49524,0,0,0,0,0,0
404,25249,CNC Metal Fabrication Inc,53 Saint Regis Cres S,M3J 1Y6,43.7551,-79.4859,332999,All Other Misc. Fabricated Metal Product Mfg.,24,,CHANDRAKANT PATEL,416-398-3727,Q A MANAGER,416-398-3727,,,9,"Chromium, Non-Hexavalent and its compounds",0,122,0,0,0,0,0,0
405,25332,Disco Organics Processing Facility,120 Disco Road,M9W 1M4,43.7005,-79.6026,562210,Waste Treatment & Disposal,15,,Andrew Agbanti,416-392-1487,Manage Resource Recovery,416-392-4687,,,24,Particulate Matter 2.5 (PM2.5),3923,0,0,3923,0,0,0,0
406,466,The International Group Inc,50 Salome Drive,M1S 2A8,43.7846,-79.2748,324190,Other Petroleum & Coal Products Mfg.,150,,Izaura Araujo,416-293-4151,EHS Manager,416-571-1422,,,25,Volatile Organic Compounds (VOCs) Total,1652,45856,0,47508,0,0,0,0
407,477,DJ Manufacturing Co Ltd,140 The East Mall,M8Z 5V5,43.6231,-79.5498,321919,Other Millwork,25,,Liza Lopez,416-236-7366,Controller,416-236-7366,226,416-236-7504,24,Particulate Matter 2.5 (PM2.5),626,0,0,626,0,0,0,0
408,483,Toronto Transit Commission Wilson Complex,160 Transit Road,M3H 1T8,43.7388,-79.4526,485110,Urban Transit Systems,329,http://www3.ttc.ca,Shaun DeSouza,416-393-3284,Manager Environment,416-554-1299,,,25,Volatile Organic Compounds (VOCs) Total,0,0,215,215,0,0,0,0
409,494,Estee Lauder Cosmetics Ltd,161 Commander Blvd,M1S 3K9,43.7957,-79.269,325620,Toilet Preparation Mfg.,500,,Kim Oleszczyk,416-297-2949,Director EHS,365-340-2507,,,25,Volatile Organic Compounds (VOCs) Total,150,12580,0,2959,0,0,0,0
410,495,DOW CANADA MATERIAL SCIENCES ULC,2 Manse Road,M1E 3T9,43.7599,-79.1717,325510,Paint & Coating Mfg.,80,,Steven McConnell,416-284-4711,Site Leader,289-685-5481,,,24,Particulate Matter 2.5 (PM2.5),54,0,0,54,0,0,0,0
411,25351,CanaDatum Moulds Ltd,55 Goldthorne Avenue,M8Z 5S7,43.6156,-79.5138,333511,Industrial Mould Mfg.,105,,Colleen Musalem,416-252-1212,VP Finance,416-252-1212,,416-252-5377,9,"Chromium, Non-Hexavalent and its compounds",0,608,0,0,0,0,0,0
412,25360,Etobicoke Ironworks Ltd,141 Rivalda Rd,M9M 2M6,43.7449,-79.5365,331210,Iron & Steel Pipes & Tubes Mfg.,175,,Ron Chafee,416-742-7111,CEO,416-742-7111,,416-742-2737,16,Manganese and its compounds,0,93,16,18,0,0,0,0
413,25360,Etobicoke Ironworks Ltd,141 Rivalda Rd,M9M 2M6,43.7449,-79.5365,331210,Iron & Steel Pipes & Tubes Mfg.,175,,Ron Chafee,416-742-7111,CEO,416-742-7111,,416-742-2737,9,"Chromium, Non-Hexavalent and its compounds",0,508,0,82,0,0,0,0
414,25388,Crystal Claire Cosmetics,165 Milner Ave,M1S 4G7,43.7854,-79.2422,325620,Toilet Preparation Mfg.,600,,Junsheng Chen,416-421-1882,Director of Quality Assurance,416-421-1882,,,25,Volatile Organic Compounds (VOCs) Total,0,12604,6992,16987,0,0,0,0
415,25437,GP Millwork,191 Finchdene Square,M1X 1E3,43.8198,-79.2332,321919,Other Millwork,50,,Peter Diamond,416-298-4204,Vice President,416-298-4204,,,24,Particulate Matter 2.5 (PM2.5),671,0,0,671,0,0,0,0
416,25469,Brother Dry Clenners,83 Pelham Ave,M6N 1A5,43.6676,-79.4575,812320,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),10,,Hong Tao Hu,416-651-8222,Manager,416-627-8278,,,14,Formaldehyde,0,0,0,0,0,0,0,0
417,25473,Supreme Food Equipment Co Ltd,31 Melford Dr,M1B 2G6,43.8094,-79.238,331222,Steel Wire Drawing,15,,Sunny Tsang,416-299-6128,Manger,416-299-6128,,416-299-6095,18,Nickel and its compounds,0,100,0,85,0,0,0,0
418,25499,Arts Metal Finish Ltd,555 Canarctic Dr,M3J 2P9,43.7769,-79.4867,332810,"Coating, Engraving & Heat Treating Activities",20,,Paul Sanclimenti,416-661-0605,Operations Manager,416-661-0605,,,23,Nitrogen Oxides (NOx),582,0,0,582,0,0,0,0
